Country Name,Country Code,Series Name,Series Code,2018 [YR2018]
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-2.74673
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.3821
Algeria,DZA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.7937849
American Samoa,ASM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.205116
Andorra,AND,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.425432
Angola,AGO,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.3190349
Anguilla,AIA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.297391
Antigua and Barbuda,ATG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.7261432
Argentina,ARG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.0199319
Armenia,ARM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.4187803
Aruba,ABW,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.366119
Australia,AUS,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.9765741
Austria,AUT,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.9175232
Azerbaijan,AZE,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.6967331
"Bahamas, The",BHS,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.8721167
Bahrain,BHR,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.8404424
Bangladesh,BGD,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.03248
Barbados,BRB,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.9214329
Belarus,BLR,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.3535319
Belgium,BEL,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.412356
Belize,BLZ,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.0156727
Benin,BEN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.132421
Bermuda,BMU,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.162025
Bhutan,BTN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.104605
Bolivia,BOL,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.2428411
Bosnia and Herzegovina,BIH,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.3923242
Botswana,BWA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.9791562
Brazil,BRA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.3570176
Brunei Darussalam,BRN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.201149
Bulgaria,BGR,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.4196386
Burkina Faso,BFA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.040907
Burundi,BDI,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.597951
Cabo Verde,CPV,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.7472337
Cambodia,KHM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.108229
Cameroon,CMR,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.37598
Canada,CAN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.9911886
Cayman Islands,CYM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.149285
Central African Republic,CAF,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-2.281261
Chad,TCD,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.478995
Chile,CHL,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.4252459
China,CHN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.2610621
Colombia,COL,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.8133885
Comoros,COM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.2032647
"Congo, Dem. Rep.",COD,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-2.116205
"Congo, Rep.",COG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.4428181
Cook Islands,COK,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,..
Costa Rica,CRI,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.4864345
Cote d'Ivoire,CIV,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.9311823
Croatia,HRV,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.7688776
Cuba,CUB,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.6523342
Cyprus,CYP,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.543319
Czech Republic,CZE,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.040143
Denmark,DNK,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.9590668
Djibouti,DJI,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.1341229
Dominica,DMA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.107935
Dominican Republic,DOM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.0347933
Ecuador,ECU,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.0747498
"Egypt, Arab Rep.",EGY,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.164931
El Salvador,SLV,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.3348508
Equatorial Guinea,GNQ,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.0511222
Eritrea,ERI,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.6051562
Estonia,EST,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.5999668
Eswatini,SWZ,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.3086324
Ethiopia,ETH,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.343246
Fiji,FJI,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.7425547
Finland,FIN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.9249202
France,FRA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.1091348
French Guiana,GUF,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.5304107
Gabon,GAB,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.2475997
"Gambia, The",GMB,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.0295531
Georgia,GEO,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.4264878
Germany,DEU,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.6048951
Ghana,GHA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.0298971
Greece,GRC,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.0925857
Greenland,GRL,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.939219
Grenada,GRD,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.9976301
Guam,GUM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.6334171
Guatemala,GTM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.541353
Guinea,GIN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.8766674
Guinea-Bissau,GNB,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.6697532
Guyana,GUY,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.1750658
Haiti,HTI,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.6268144
Honduras,HND,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.550988
"Hong Kong SAR, China",HKG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.7943653
Hungary,HUN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.7552119
Iceland,ISL,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.412426
India,IND,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.9565214
Indonesia,IDN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.5334369
"Iran, Islamic Rep.",IRN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.306763
Iraq,IRQ,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-2.55586
Ireland,IRL,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.030591
Israel,ISR,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.9324778
Italy,ITA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.3111933
Jamaica,JAM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.4869154
Japan,JPN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.059693
"Jersey, Channel Islands",JEY,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.273265
Jordan,JOR,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.3794051
Kazakhstan,KAZ,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.0004052
Kenya,KEN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.164113
Kiribati,KIR,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.033781
"Korea, Dem. People’s Rep.",PRK,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.3516326
"Korea, Rep.",KOR,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.5449707
Kosovo,XKX,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.6054888
Kuwait,KWT,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.1102895
Kyrgyz Republic,KGZ,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.5820286
Lao PDR,LAO,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.415007
Latvia,LVA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.4215345
Lebanon,LBN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.644891
Lesotho,LSO,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.2183286
Liberia,LBR,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.1924032
Libya,LBY,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-2.441388
Liechtenstein,LIE,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.484191
Lithuania,LTU,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.752799
Luxembourg,LUX,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.373404
"Macao SAR, China",MAC,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.262964
Madagascar,MDG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.5190363
Malawi,MWI,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.3250225
Malaysia,MYS,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.2373901
Maldives,MDV,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.0950901
Mali,MLI,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-2.05126
Malta,MLT,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.294193
Marshall Islands,MHL,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.8627383
Martinique,MTQ,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.9858225
Mauritania,MRT,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.6677783
Mauritius,MUS,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.872838
Mexico,MEX,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.572437
"Micronesia, Fed. Sts.",FSM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.340414
Moldova,MDA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.3490165
Monaco,MCO,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.612102
Mongolia,MNG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.7887995
Montenegro,MNE,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.1080209
Morocco,MAR,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.3318862
Mozambique,MOZ,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.7836707
Myanmar,MMR,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.309011
Namibia,NAM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.6537775
Nauru,NRU,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.5126343
Nepal,NPL,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.6251459
Netherlands,NLD,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.8682934
Netherlands Antilles,ANT,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,..
New Zealand,NZL,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.541482
Nicaragua,NIC,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.8013505
Niger,NER,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.260566
Nigeria,NGA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-2.1927
Niue,NIU,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,..
North Macedonia,MKD,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.1966761
Norway,NOR,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.153804
Oman,OMN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.6545912
Pakistan,PAK,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-2.267435
Palau,PLW,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.8627383
Panama,PAN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.2771547
Papua New Guinea,PNG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.6669981
Paraguay,PRY,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.1192975
Peru,PER,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.2593005
Philippines,PHL,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.121844
Poland,POL,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.5450124
Portugal,PRT,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.140031
Puerto Rico,PRI,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.4000113
Qatar,QAT,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.6783724
Reunion,REU,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.2692141
Romania,ROU,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.0593082
Russian Federation,RUS,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.5037209
Rwanda,RWA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.1159507
Samoa,WSM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.186755
San Marino,SMR,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.8627383
Sao Tome and Principe,STP,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.5335671
Saudi Arabia,SAU,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.5181113
Senegal,SEN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.0886327
Serbia,SRB,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.0824774
Seychelles,SYC,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.6970197
Sierra Leone,SLE,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.0298916
Singapore,SGP,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.510339
Slovak Republic,SVK,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.7504383
Slovenia,SVN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.9109183
Solomon Islands,SLB,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.3004147
Somalia,SOM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-2.219771
South Africa,ZAF,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.2766732
South Sudan,SSD,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-2.439316
Spain,ESP,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.2548025
Sri Lanka,LKA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.1831642
St. Kitts and Nevis,KNA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.7104676
St. Lucia,LCA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.013306
St. Vincent and the Grenadines,VCT,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.8540489
Sudan,SDN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.835869
Suriname,SUR,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.0773252
Sweden,SWE,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.9136876
Switzerland,CHE,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.344863
Syrian Arab Republic,SYR,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-2.739623
"Taiwan, China",TWN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.8534058
Tajikistan,TJK,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.7243188
Tanzania,TZA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.5591016
Thailand,THA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.733099
Timor-Leste,TLS,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.298182
Togo,TGO,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.9817027
Tonga,TON,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.8794378
Trinidad and Tobago,TTO,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.2480514
Tunisia,TUN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.9018921
Turkey,TUR,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.328783
Turkmenistan,TKM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.0068957
Tuvalu,TUV,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.425432
Uganda,UGA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.6914156
Ukraine,UKR,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.826185
United Arab Emirates,ARE,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.7432382
United Kingdom,GBR,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.0487175
United States,USA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.4774609
Uruguay,URY,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.046509
Uzbekistan,UZB,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.283422
Vanuatu,VUT,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.8379562
"Venezuela, RB",VEN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.343512
Vietnam,VNM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.2032657
Virgin Islands (U.S.),VIR,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.9858225
West Bank and Gaza,PSE,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.735649
"Yemen, Rep.",YEM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-3.002496
Zambia,ZMB,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.1419944
Zimbabwe,ZWE,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.7070538
,,,,
,,,,
,,,,
Data from database: Worldwide Governance Indicators,,,,
Last Updated: 11/07/2019,,,,
